Clover,Crystal,Segment,X,Y,Z
9,0,4,-172.934,-34.5606,118.993
9,0,5,-155.294,-30.8463,137.086
9,0,6,-147.751,-49.076,134.788
9,0,7,-165.294,-54.6884,116.394
9,1,0,-89.4793,-15.0085,143.597
9,1,1,-83.8084,-27.0841,140.524
9,1,2,-99.8691,-31.7771,124.543
9,1,3,-106.098,-17.9614,126.353
9,1,4,-116.499,-23.3953,176.466
9,1,5,-110.324,-36.6195,174.237
9,1,6,-127.732,-42.564,155.819
9,1,7,-134.27,-26.8009,158.441
9,2,0,-141.63,-23.7804,90.7045
9,2,1,-124.402,-21.0536,107.59
9,2,2,-118.661,-37.7177,104.84
9,2,3,-133.858,-43.1627,88.1645
9,2,4,-172.934,-34.5606,118.993
9,2,5,-155.294,-30.8463,137.086
9,2,6,-147.751,-49.076,134.788
9,2,7,-165.294,-54.6884,116.394
9,3,0,-89.4793,-15.0085,143.597
9,3,1,-83.8084,-27.0841,140.524
9,3,2,-99.8691,-31.7771,124.543
9,3,3,-106.098,-17.9614,126.353
9,3,4,-116.499,-23.3953,176.466
9,3,5,-110.324,-36.6195,174.237
9,3,6,-127.732,-42.564,155.819
9,3,7,-134.27,-26.8009,158.441
